ignore,id,doc,toc,year,filcount,discount
685,12073,2,5,1986,351,242
686,12073,2,1,1986,310,218
687,12073,2,10,1986,816,430
688,12073,2,11,1986,506,171
689,12073,2,6,1986,11,8
690,12073,2,3,1986,352,139
691,12073,2,7,1986,133,179
692,12077,2,2,1986,0,0
693,12077,2,4,1986,0,0
694,12077,2,9,1986,5,1
695,12077,2,8,1986,0,0
696,12077,2,5,1986,6,4
697,12077,2,1,1986,0,0
698,12077,2,10,1986,2,2
699,12077,2,11,1986,4,1
700,12077,2,6,1986,12,2
701,12077,2,3,1986,3,4
702,12077,2,7,1986,4,4
703,12129,2,2,1986,0,0
704,12129,2,4,1986,0,0
705,12129,2,9,1986,15,11
706,12129,2,8,1986,4,4
707,12129,2,5,1986,27,26
708,12129,2,1,1986,21,24
709,12129,2,10,1986,18,13
710,12129,2,11,1986,16,15
711,12129,2,6,1986,3,6
712,12129,2,3,1986,24,12
713,12129,2,7,1986,9,8
714,12023,2,2,1986,5,2
715,12023,2,4,1986,7,10
716,12023,2,9,1986,45,40
717,12023,2,8,1986,24,11
718,12023,2,5,1986,236,168
719,12023,2,1,1986,198,137
720,12023,2,10,1986,228,219
721,12023,2,11,1986,141,92
722,12023,2,6,1986,14,24
723,12023,2,3,1986,104,81
724,12023,2,7,1986,32,27
725,12029,2,2,1986,0,3
726,12029,2,4,1986,3,3
727,12029,2,9,1986,3,4
728,12029,2,8,1986,0,0
729,12029,2,5,1986,25,17
730,12029,2,1,1986,23,13
731,12029,2,10,1986,15,15
732,12029,2,11,1986,15,4
733,12029,2,6,1986,8,1
734,12029,2,3,1986,15,15
735,12029,2,7,1986,6,11
736,12047,2,2,1986,1,0
737,12047,2,4,1986,2,2
738,12047,2,9,1986,6,4
739,12047,2,8,1986,7,9
740,12047,2,5,1986,44,37
741,12047,2,1,1986,23,18
742,12047,2,10,1986,49,21
743,12047,2,11,1986,11,3
744,12047,2,6,1986,11,7
745,12047,2,3,1986,36,18
746,12047,2,7,1986,15,20
747,12067,2,2,1986,0,0
748,12067,2,4,1986,2,1
749,12067,2,9,1986,4,1
750,12067,2,8,1986,0,0
751,12067,2,5,1986,6,10
752,12067,2,1,1986,4,7
753,12067,2,10,1986,3,7
754,12067,2,11,1986,0,1
