ignore,id,doc,toc,variable,value
874,12119,2,10,1986,39
875,12119,2,11,1986,27
876,12119,2,6,1986,7
877,12119,2,3,1986,108
878,12119,2,7,1986,33
879,12101,2,2,1986,6
880,12101,2,4,1986,13
881,12101,2,9,1986,57
882,12101,2,8,1986,32
883,12101,2,5,1986,212
884,12101,2,1,1986,186
885,12101,2,10,1986,289
886,12101,2,11,1986,52
887,12101,2,6,1986,11
888,12101,2,3,1986,101
889,12101,2,7,1986,85
890,12103,2,2,1986,17
891,12103,2,4,1986,50
892,12103,2,9,1986,183
893,12103,2,8,1986,201
894,12103,2,5,1986,696
895,12103,2,1,1986,947
896,12103,2,10,1986,1771
897,12103,2,11,1986,547
898,12103,2,6,1986,147
899,12103,2,3,1986,1977
900,12103,2,7,1986,503
901,12035,2,2,1986,0
902,12035,2,4,1986,2
903,12035,2,9,1986,3
904,12035,2,8,1986,9
905,12035,2,5,1986,67
906,12035,2,1,1986,14
907,12035,2,10,1986,112
908,12035,2,11,1986,8
909,12035,2,6,1986,11
910,12035,2,3,1986,49
911,12035,2,7,1986,59
912,12107,2,2,1986,0
913,12107,2,4,1986,11
914,12107,2,9,1986,53
915,12107,2,8,1986,37
916,12107,2,5,1986,176
917,12107,2,1,1986,158
918,12107,2,10,1986,251
919,12107,2,11,1986,225
920,12107,2,6,1986,27
921,12107,2,3,1986,82
922,12107,2,7,1986,179
923,12109,2,2,1986,3
924,12109,2,4,1986,5
925,12109,2,9,1986,24
926,12109,2,8,1986,17
927,12109,2,5,1986,260
928,12109,2,1,1986,141
929,12109,2,10,1986,253
930,12109,2,11,1986,91
931,12109,2,6,1986,56
932,12109,2,3,1986,105
933,12109,2,7,1986,175
934,12127,2,2,1986,30
935,12127,2,4,1986,19
936,12127,2,9,1986,63
937,12127,2,8,1986,163
938,12127,2,5,1986,457
939,12127,2,1,1986,606
940,12127,2,10,1986,868
941,12127,2,11,1986,257
942,12127,2,6,1986,30
943,12127,2,3,1986,646
944,12127,2,7,1986,586
945,12001,2,2,1986,5
946,12001,2,4,1986,24
947,12001,2,9,1986,95
948,12001,2,8,1986,149
949,12001,2,5,1986,395
950,12001,2,1,1986,408
951,12001,2,10,1986,695
952,12001,2,11,1986,147
953,12001,2,6,1986,16
954,12001,2,3,1986,198
955,12001,2,7,1986,191
956,12003,2,2,1986,0
957,12003,2,4,1986,1
958,12003,2,9,1986,8
959,12003,2,8,1986,2
960,12003,2,5,1986,23
961,12003,2,1,1986,20
962,12003,2,10,1986,20
963,12003,2,11,1986,13
964,12003,2,6,1986,0
965,12003,2,3,1986,7
966,12003,2,7,1986,38
967,12007,2,2,1986,1
968,12007,2,4,1986,1
969,12007,2,9,1986,11
970,12007,2,8,1986,8
971,12007,2,5,1986,61
972,12007,2,1,1986,37
973,12007,2,10,1986,77
974,12007,2,11,1986,92
975,12007,2,6,1986,1
976,12007,2,3,1986,45
977,12007,2,7,1986,45
978,12041,2,2,1986,0
979,12041,2,4,1986,0
980,12041,2,9,1986,4
981,12041,2,8,1986,0
982,12041,2,5,1986,8
983,12041,2,1,1986,6
984,12041,2,10,1986,13
985,12041,2,11,1986,13
986,12041,2,6,1986,4
987,12041,2,3,1986,9
988,12041,2,7,1986,3
989,12075,2,2,1986,0
