id,group,year,population
12061,5,1987,4762
12061,6,1987,4400
12061,7,1987,10740
12061,8,1987,9342
12061,9,1987,7142
12061,10,1987,10693
12061,11,1987,13294
12061,12,1987,6278
12061,13,1987,1386
12063,1,1987,473
12063,2,1987,2169
12063,3,1987,2876
12063,4,1987,2886
12063,5,1987,4125
12063,6,1987,3231
12063,7,1987,6347
12063,8,1987,5405
12063,9,1987,4009
12063,10,1987,3982
12063,11,1987,3467
12063,12,1987,2035
12063,13,1987,545
12065,1,1987,145
12065,2,1987,689
12065,3,1987,914
12065,4,1987,892
12065,5,1987,909
12065,6,1987,713
12065,7,1987,1568
12065,8,1987,1391
12065,9,1987,1018
