id,year,income
12067,1989,11706
12067,1990,12396
12067,1991,12676
12067,1992,13697
12067,1993,14056
12067,1994,14474
12067,1995,13804
12067,1996,14997
12067,1997,16690
12067,1998,16861
12067,1999,17446
12067,2000,15742
12067,2001,16325
12067,2002,15071
12067,2003,15563
12067,2004,17315
12067,2005,16854
12067,2006,16222
12067,2007,18662
12067,2008,19871
12067,2009,18543
12067,2010,19171
12067,2011,19590
12067,2012,19995
12067,2013,20294
12069,1986,14465
12069,1987,14906
12069,1988,15588
12069,1989,17157
12069,1990,17583
12069,1991,17442
12069,1992,18363
12069,1993,19181
12069,1994,19970
12069,1995,21181
12069,1996,22296
12069,1997,23306
12069,1998,24688
12069,1999,25594
12069,2000,26848
12069,2001,27761
12069,2002,27611
12069,2003,28624
12069,2004,29598
12069,2005,30556
12069,2006,31951
12069,2007,33186
12069,2008,33370
12069,2009,31733
12069,2010,32612
12069,2011,33629
12069,2012,34445
12069,2013,34782
12071,1986,16123
12071,1987,16964
12071,1988,18162
12071,1989,20190
12071,1990,20438
12071,1991,20440
12071,1992,21228
12071,1993,21933
12071,1994,22715
12071,1995,24174
12071,1996,24961
12071,1997,25853
12071,1998,27391
12071,1999,28272
12071,2000,30014
12071,2001,32013
12071,2002,32421
12071,2003,33238
12071,2004,36303
12071,2005,38649
12071,2006,41536
12071,2007,41367
12071,2008,42027
12071,2009,40471
12071,2010,40667
12071,2011,42777
12071,2012,42386
12071,2013,42795
12073,1986,14045
12073,1987,14985
12073,1988,16151
12073,1989,17474
12073,1990,18484
12073,1991,18851
12073,1992,19742
12073,1993,20452
12073,1994,21157
12073,1995,22436
12073,1996,23322
12073,1997,23981
12073,1998,25567
12073,1999,26778
12073,2000,27481
12073,2001,29694
12073,2002,29548
12073,2003,30282
12073,2004,32102
12073,2005,34150
12073,2006,35466
12073,2007,36589
12073,2008,36695
12073,2009,35560
12073,2010,37420
12073,2011,39857
12073,2012,37644
12073,2013,38345
12075,1986,10233
12075,1987,10643
12075,1988,11713
12075,1989,12417
12075,1990,12995
12075,1991,13506
12075,1992,14419
12075,1993,14902
12075,1994,15377
12075,1995,15763
12075,1996,16655
12075,1997,17394
12075,1998,18235
12075,1999,18682
12075,2000,19196
12075,2001,21026
12075,2002,20179
12075,2003,21110
12075,2004,22808
12075,2005,24331
12075,2006,24978
12075,2007,25406
12075,2008,25518
12075,2009,25129
12075,2010,26865
12075,2011,27954
12075,2012,28114
12075,2013,29002
12077,1986,9689
12077,1987,9956
12077,1988,10873
12077,1989,11825
12077,1990,12598
12077,1991,12689
12077,1992,13558
12077,1993,14015
12077,1994,14069
12077,1995,14471
12077,1996,15183
12077,1997,15667
12077,1998,16124
12077,1999,16830
12077,2000,17799
12077,2001,19648
12077,2002,19977
12077,2003,20809
12077,2004,22082
12077,2005,22492
12077,2006,23334
12077,2007,24330
12077,2008,24361
12077,2009,23785
12077,2010,24652
12077,2011,24892
12077,2012,24833
12077,2013,25062
12079,1986,9591
12079,1987,9971
12079,1988,10704
12079,1989,11117
12079,1990,11844
12079,1991,12159
12079,1992,12580
12079,1993,12812
12079,1994,13359
12079,1995,14287
12079,1996,14879
12079,1997,15600
12079,1998,16063
12079,1999,16762
12079,2000,17449
12079,2001,18421
12079,2002,18504
12079,2003,19223
12079,2004,20308
12079,2005,21545
12079,2006,22086
12079,2007,22877
12079,2008,23408
12079,2009,23170
12079,2010,24228
12079,2011,25221
12079,2012,25695
12079,2013,26557
12081,1986,15919
12081,1987,16745
12081,1988,17699
12081,1989,19720
12081,1990,20323
12081,1991,20344
12081,1992,21467
12081,1993,22155
12081,1994,23100
12081,1995,25028
12081,1996,26048
12081,1997,27200
12081,1998,29346
12081,1999,30516
12081,2000,32067
12081,2001,33172
12081,2002,33271
12081,2003,33615
12081,2004,36109
12081,2005,38844
12081,2006,41021
12081,2007,42075
12081,2008,41007
12081,2009,38341
12081,2010,39731
12081,2011,42550
12081,2012,41844
12081,2013,42104
12083,1986,12574
12083,1987,13242
12083,1988,14185
12083,1989,15301
12083,1990,15814
12083,1991,15723
12083,1992,16438
12083,1993,17273
12083,1994,17936
